id,text,label,misinformation_type,domain,semantic_focus,emotion_trigger,emotion_secondary,source_type,text_length
MIS-8A3CC6,Independent lab testing by UL demonstrates that next-generation routers undergo multi-stage independent safety certification prior to commercial deployment.,factual,none,technology,scientific_misinterpretation,hope,none,forum,18
MIS-F475F2,Tech startup raises $2.3 billion to solve a problem that previously required a 30-second workaround.,satire,none,technology,scientific_misinterpretation,curiosity,none,comment,15
MIS-22E8CF,Scientists solve climate change problem — discover three new problems in the process.,satire,none,science,scientific_misinterpretation,curiosity,none,comment,13
MIS-B2D0AF,Academic analysis of precinct-level data confirms that voter participation in the certification reached a two-decade high with no fraud detected.,factual,none,politics,election_fraud,anger,none,blog,20
MIS-2B2E82,Multi-country epidemiological surveillance data shows that no peer-reviewed study has established a causal link between autonomous delivery drones and the harms claimed.,factual,none,technology,technology_fear,hope,none,social_media,22
MIS-C9327A,History clearly shows that regulatory frameworks for connected insulin pumps are years behind the pace of a transnational data brokerage innovation.,opinion,none,technology,technology_fear,neutral,none,forum,21
MIS-12DFC3,over 97% of domain experts agree that expert consensus on antibiotic resistance has grown stronger every decade as evidence has accumulated.,factual,none,science,policy_claim,hope,none,comment,21
MIS-6673E2,Any honest analyst would admit that retail investors bear a disproportionate share of economic volatility.,opinion,none,finance,investment_promise,curiosity,none,blog,15
MIS-B71B15,The nonpartisan electoral commission concluded that international observers rated voter rolls among the most transparent in the nation's history.,factual,none,politics,economic_prediction,neutral,none,blog,19
MIS-D17FF5,Scientists confirm eating actual food outperforms all approved treatments. fitness industry questions the methodology.,satire,none,health,scientific_misinterpretation,hope,none,social_media,14
MIS-86E708,Many thoughtful people feel that independent media is the only remaining check on the power of a cabal of unelected bureaucrats.,opinion,none,politics,economic_prediction,neutral,none,blog,21
MIS-F267BE,decades of independent replication verify nitrogen cycle disruption represents one of the most thoroughly validated areas of modern science.,factual,none,science,scientific_misinterpretation,hope,none,comment,19
MIS-0490C4,"ALERT: this rare earth mineral fund is about to surge. First movers will capture $5,000 per week with zero effort.",misinformation,rumor,finance,economic_prediction,urgency,none,social_media,20
MIS-AB9970,Study costing $18 million confirms humans share 60% DNA with bananas — nobody who needed convincing is convinced.,satire,none,science,cure_claim,curiosity,none,forum,18
MIS-3B2CE4,The evidence strongly suggests that the politicisation of quantum computing has seriously damaged public trust in science.,opinion,none,science,scientific_misinterpretation,fear,none,forum,17
MIS-D61544,New study confirms walking outside once a week extends lifespan by 40 years — Big Pharma blocks the publication.,satire,none,health,cure_claim,curiosity,none,forum,19
MIS-A76A6A,Let's be honest: independent media is the only remaining check on the power of dark money groups.,opinion,none,politics,policy_claim,anger,none,social_media,17
MIS-3FEE90,"If you look at the evidence carefully, journalism has failed to adequately scrutinise the role of a coalition of permanent government insiders in government.",opinion,none,politics,economic_prediction,neutral,none,blog,24
MIS-2616DF,Conference recording leaked: leading scientists privately admit nuclear energy is a hoax fabricated by corrupt scientists.,misinformation,conspiracy,science,scientific_misinterpretation,anger,curiosity,messaging_app,16
MIS-EB5175,Thousands of patients healed with copper bracelets — the WHO refuses to acknowledge the evidence.,misinformation,rumor,health,cure_claim,urgency,hope,social_media,15
MIS-2071CF,"converging evidence from physics, chemistry, and biology confirms that the data underpinning antibiotic resistance is publicly available and has been independently verified.",factual,none,science,economic_prediction,curiosity,none,forum,22
MIS-55BE72,Banned academic paper: the Apollo moon landing is a coordinated lie orchestrated by globalist institutions. Download before journals scrub the record.,misinformation,conspiracy,science,policy_claim,anger,none,forum,21
MIS-6D4B6D,"I turned $300 into $47,000 in six weeks using this liquidity mining pool. You can replicate this — this loophole expires at midnight.",misinformation,scam,finance,economic_prediction,urgency,none,messaging_app,23
MIS-ED4F3F,Geneticists publish 20000th study confirming artificial general intelligence — await 20001th to be sure.,satire,none,science,scientific_misinterpretation,curiosity,none,blog,14
MIS-E26838,longitudinal research spanning 30 years confirms that scientific consensus on dark matter research is based on decades of converging evidence.,factual,none,science,policy_claim,hope,none,comment,20
MIS-054818,Any honest analyst would admit that Big Tech have accumulated an ethically unjustifiable volume of personal data through IoT home devices.,opinion,none,technology,scientific_misinterpretation,curiosity,none,blog,21
MIS-CF74DB,independent replication in 40 countries confirms that the practical applications derived from quantum computing have been saving lives for decades.,factual,none,science,scientific_misinterpretation,hope,none,comment,20
MIS-1F731C,Day trading influencer loses six figures overnight in carbon credit — writes book about financial freedom within the week.,satire,none,finance,economic_prediction,hope,none,social_media,19
MIS-F476C7,Official canvassing results show that hand recount of the vote count ballots matched machine totals within accepted tolerances.,factual,none,politics,policy_claim,curiosity,none,blog,18
MIS-9F872C,Court rulings in multiple jurisdictions confirmed that no evidence of widespread irregularities was found during the provisional ballot review.,factual,none,politics,policy_claim,neutral,none,social_media,19
MIS-42512C,Study finds eating one grape daily eliminates need for all medication. medical establishment files an injunction.,satire,none,health,scientific_misinterpretation,neutral,none,blog,16
MIS-DE42D6,Real independent science demonstrates clearly that nitrogen cycle disruption contradicts thousands of years of ancient wisdom.,misinformation,propaganda,science,cure_claim,fear,none,messaging_app,16
MIS-70EBA0,History clearly shows that cystic fibrosis research funding has been captured by commercial interests at the AMA.,opinion,none,health,scientific_misinterpretation,curiosity,none,blog,17
MIS-601315,"Nobel Prize-winning behavioural finance research confirms that globally diversified index funds outperform active management over 15-year horizons, a finding that holds over multiple market cycles.",factual,none,finance,policy_claim,hope,none,forum,25
MIS-792C91,History clearly shows that it is unacceptable that first-time homebuyers cannot access the same tax advantages as the wealthy.,opinion,none,finance,investment_promise,curiosity,none,blog,19
MIS-DEF4C8,A peer-reviewed study in The Lancet found that stress reduction interventions show measurable impact on thyroid disease disease progression.,factual,none,health,scientific_misinterpretation,fear,none,social_media,19
MIS-1840F8,An independent scientist was discredited after proving biometric payment terminals alter children's brain development. intelligence-linked venture funds coordinated the smear.,misinformation,myth,technology,technology_fear,anger,none,forum,20
MIS-FB16CE,Classified investment strategy: this carbon credit scheme is producing financial freedom in 90 days for early adopters — the whitelist closes tonight.,misinformation,scam,finance,investment_promise,curiosity,none,social_media,22
MIS-F9663C,"Honestly speaking, the gap between scientific consensus on epigenetics research and public understanding is dangerously wide.",opinion,none,science,policy_claim,fear,none,forum,16
MIS-93B443,Federal oversight agencies verified that every court that examined the referendum results evidence found it insufficient to support fraud claims.,factual,none,politics,election_fraud,anger,none,blog,20
MIS-88B83D,Empirical data shows that average retail investors consistently underperform benchmark indices over 10-year periods in post-2008 data.,factual,none,finance,investment_promise,curiosity,none,blog,17
MIS-DDAFCD,Classified memo: intelligence agencies rehearsed manipulated the overseas ballot count for 18 months before election night.,misinformation,conspiracy,politics,election_fraud,curiosity,none,forum,16
MIS-CC97D6,Forward this now: borax solution permanently suppresses eczema and the CDC is lobbying to make it illegal.,misinformation,medical_claim,health,cure_claim,urgency,hope,forum,17
MIS-3BFC23,Your connected insulin pumps are disrupt the body's natural electrical field right now. Silicon Valley executives profit from your ignorance of this fact.,misinformation,myth,technology,policy_claim,urgency,none,forum,23
MIS-6261AB,Three countries have quietly banned autonomous delivery drones after confirming they track every movement in real time. Silicon Valley executives blocked the news.,misinformation,myth,technology,policy_claim,anger,none,messaging_app,23
MIS-8723B1,Statistical analysis of voting patterns shows that bipartisan canvassers certified the overseas ballot count results after reviewing all challenged ballots.,factual,none,politics,election_fraud,curiosity,none,social_media,20
MIS-5131E5,"When you examine the data, first-time homebuyers have no meaningful access to the financial planning resources the wealthy enjoy.",opinion,none,finance,policy_claim,curiosity,none,blog,19
MIS-DAF81A,The algorithm that deliberately falsified the Senate confirmation was traced back to servers controlled by a secretive globalist faction.,misinformation,propaganda,politics,policy_claim,curiosity,none,messaging_app,19
MIS-258FC7,The evidence strongly suggests that small business owners are priced out of asset markets by institutional investors.,opinion,none,finance,policy_claim,neutral,none,forum,17
MIS-4E6283,"When you examine the data, younger voters especially underestimate how much intelligence contractors shapes their daily lives.",opinion,none,politics,economic_prediction,neutral,none,blog,17
MIS-41E80C,"Invest in this real estate fund today and generate profits of $2,000 daily on autopilot — the whitelist closes tonight.",misinformation,scam,finance,investment_promise,anger,none,messaging_app,20
MIS-4973BB,Classified memo: state-sponsored hackers rehearsed rigged the runoff election for 18 months before election night.,misinformation,propaganda,politics,policy_claim,anger,curiosity,forum,15
MIS-E9CBC1,"Looking at this objectively, a coalition of intelligence agencies and tech firms have accumulated an ethically unjustifiable volume of personal data through RFID implants.",opinion,none,technology,technology_fear,anger,none,comment,24
MIS-ADD83D,the IPCC scientific consensus establishes students in 190 countries learn evolution from textbooks authored by independent researchers.,factual,none,science,economic_prediction,curiosity,none,comment,17
MIS-3740AA,New the multiverse study released — public continues doing exactly what study advised against.,satire,none,science,policy_claim,neutral,none,social_media,14
MIS-0E60F5,independent replication in 40 countries confirms that scientific consensus on nitrogen cycle disruption is based on decades of converging evidence.,factual,none,science,scientific_misinterpretation,hope,none,social_media,20
MIS-0C08A9,Crypto expert reveals secret to wealth: simply earn more than you spend — audiences stunned.,satire,none,finance,economic_prediction,fear,curiosity,comment,15
MIS-A415BE,"If you look at the evidence carefully, the healthcare system is failing millions of patients living with gout.",opinion,none,health,scientific_misinterpretation,hope,none,blog,18
MIS-11BEE7,Thousands of doctors signed a petition confirming autonomous delivery drones spy on private conversations — a consortium of government and corporate interests buried it immediately.,misinformation,conspiracy,technology,technology_fear,urgency,anger,messaging_app,25
MIS-179B54,Three insiders confirm the establishment had the primary race fabricated before a single vote was cast.,misinformation,propaganda,politics,election_fraud,urgency,none,messaging_app,16
MIS-EEAE84,"According to IEEE safety standards, modern encryption protocols in Wi-Fi routers provide strong data privacy protections by default.",factual,none,technology,policy_claim,hope,none,social_media,18
MIS-AEB941,Breaking: minister heard apologising sincerely — blames communications team.,satire,none,politics,policy_claim,urgency,none,forum,9
MIS-9CB4F7,The evidence strongly suggests that celiac disease research funding has been captured by commercial interests at government health agencies.,opinion,none,health,cure_claim,fear,hope,forum,19
MIS-8FF2DE,decades of independent replication verify deep-sea biodiversity is among the most rigorously tested theories in the history of science.,factual,none,science,economic_prediction,neutral,none,forum,19
MIS-0A1BA2,WARNING — the AMA buried the proof that food-grade hydrogen peroxide effectively destroys Lyme disease with zero adverse effects.,misinformation,medical_claim,health,cure_claim,fear,anger,forum,19
MIS-0C2BB9,National Academies of Sciences review panels confirm that modern encryption protocols in wearable fitness trackers provide strong data privacy protections by default.,factual,none,technology,technology_fear,curiosity,none,blog,22
MIS-460CDA,over 97% of domain experts agree that mRNA technology is among the most rigorously tested theories in the history of science.,factual,none,science,policy_claim,neutral,none,blog,21
MIS-FF27C4,The uncomfortable truth is that bankruptcy laws are tilted in favour of corporations over individual debtors,opinion,none,finance,investment_promise,anger,none,forum,16
MIS-4E9275,"Looking at this objectively, prevention-focused strategies for Alzheimer's disease deserve far greater funding priority.",opinion,none,health,scientific_misinterpretation,fear,none,forum,14
MIS-65299B,Multiple sources prove globalist elites destroyed key voter rolls evidence overnight before audits.,misinformation,rumor,politics,economic_prediction,fear,none,messaging_app,13
MIS-53AF9B,Financial advisor watches investment go to zero in leveraged ETF — sells masterclass on investing within the week.,satire,none,finance,policy_claim,hope,none,blog,18
MIS-D75EC3,"From a policy perspective, clinical guidelines for fibromyalgia are updated too slowly to reflect emerging evidence.",opinion,none,health,policy_claim,anger,none,blog,16
MIS-559AB7,Critics rightly argue that the public consultation process before rolling out connected insulin pumps was wholly inadequate.,opinion,none,technology,scientific_misinterpretation,neutral,none,comment,17
MIS-F9B1AF,Evidence from 40 countries confirms that fee drag from actively managed funds reduces net returns by 1.5% annually on average in both bull and bear markets.,factual,none,finance,investment_promise,neutral,none,forum,26
MIS-EA99F4,Poll finds 91%% of voters could not explain a single piece of recent legislation — voters unavailable for comment.,satire,none,politics,election_fraud,neutral,none,social_media,19
MIS-8978E7,the special election was covertly modified by foreign-funded NGOs — censored evidence is now emerging online.,misinformation,propaganda,politics,economic_prediction,urgency,anger,social_media,16
MIS-9D4F04,The uncomfortable truth is that alternative medicine research for sickle cell disease is dismissed too quickly by health regulators.,opinion,none,health,policy_claim,fear,hope,blog,19
MIS-6356FE,Academic analysis of precinct-level data confirms that post-election audits across all contested districts confirmed the provisional ballot review integrity.,factual,none,politics,election_fraud,curiosity,none,blog,19
MIS-694BBB,BANNED STUDY: pine needle tea outperforms drugs against diabetes in just 14 days. the European Medicines Agency had the researcher discredited.,misinformation,rumor,health,cure_claim,fear,none,social_media,21
MIS-1F6064,the IPCC scientific consensus establishes scientific consensus on exoplanet habitability is based on decades of converging evidence.,factual,none,science,policy_claim,neutral,none,blog,17
MIS-4E85B5,decades of independent replication verify the data underpinning quantum computing is publicly available and has been independently verified.,factual,none,science,economic_prediction,neutral,none,social_media,18
MIS-A4E408,Groundbreaking research: influencer achieves perfect health by giving up meal planning. medical establishment questions the methodology.,satire,none,health,scientific_misinterpretation,urgency,hope,social_media,16
MIS-AD5054,Leaked memo: The legislature spent six months deciding what font to use on climate policy.,satire,none,politics,election_fraud,curiosity,none,forum,15
MIS-CA05E0,Many thoughtful people feel that regulatory frameworks for wearable fitness trackers are years behind the pace of tech oligarchs innovation.,opinion,none,technology,policy_claim,neutral,none,social_media,20
MIS-C9A34E,Many thoughtful people feel that regulatory frameworks for AI surveillance systems are years behind the pace of intelligence-linked venture funds innovation.,opinion,none,technology,policy_claim,neutral,none,blog,21
MIS-8DE148,"From a policy perspective, younger voters especially underestimate how much multinational financiers shapes their daily lives.",opinion,none,politics,policy_claim,neutral,none,comment,16
MIS-14E0E9,Epidemiologists spend $40 million once again establishing most published studies cannot be replicated by independent labs.,satire,none,science,policy_claim,fear,none,social_media,16
MIS-177390,Thousands of patients healed with frankincense oil — research universities refuses to acknowledge the evidence.,misinformation,myth,health,scientific_misinterpretation,urgency,hope,social_media,15
MIS-7DE20A,Many thoughtful people feel that patients with polycystic ovary syndrome are routinely denied adequate psychological support.,opinion,none,health,policy_claim,anger,none,blog,16
MIS-ABC3E2,International monitors certified that voter participation in the judicial appointment reached a two-decade high with no fraud detected.,factual,none,politics,election_fraud,anger,none,blog,18
MIS-5A202C,"In my view, the peer review system is not adequately equipped to handle the pace of mRNA technology research.",opinion,none,science,policy_claim,anger,none,social_media,19
MIS-BFD1C6,Published bioelectromagnetics research shows that independent reviews consistently find facial recognition cameras perform safely within regulatory parameters.,factual,none,technology,scientific_misinterpretation,hope,none,blog,17
MIS-1D14D1,Newly elected junior minister seen reading a policy document on first day — denies all memory of the incident by end of week.,satire,none,politics,economic_prediction,neutral,none,blog,23
MIS-B6F516,language model trained on all human knowledge still cannot answer a question correctly the first time.,satire,none,technology,technology_fear,urgency,none,blog,16
MIS-96FCEB,Sworn affidavits from bipartisan poll workers confirm that all legal challenges to the recount outcomes were dismissed for lack of evidence.,factual,none,politics,economic_prediction,curiosity,none,comment,21
MIS-66F7E1,Classified memo: state-sponsored hackers rehearsed tampered with exit polls for 18 months before election night.,misinformation,rumor,politics,election_fraud,curiosity,none,messaging_app,15
MIS-CC0F05,Groundbreaking research: influencer achieves perfect health by giving up meal planning. medical establishment questions the methodology.,satire,none,health,scientific_misinterpretation,urgency,hope,social_media,16
MIS-54ADE2,"According to the latest clinical research, weight management substantially reduces the incidence of kidney disease in high-risk groups.",factual,none,health,scientific_misinterpretation,fear,none,comment,18
MIS-B55C99,New study confirms ignoring all medical advice extends lifespan by 40 years — health insurance sector lobbies to have method banned.,satire,none,health,scientific_misinterpretation,hope,curiosity,social_media,21
MIS-0DB5CE,"When you examine the data, voters are insufficiently aware of how mainstream media shapes domestic policy.",opinion,none,politics,economic_prediction,curiosity,none,forum,16
MIS-B9A80B,The truth about the special election: an unaccountable intelligence apparatus have been covertly modified it for over a decade without consequence.,misinformation,conspiracy,politics,economic_prediction,urgency,none,messaging_app,21
MIS-972197,The WHO confused as new data confirms buying no supplements superior to entire pharmaceutical pipeline.,satire,none,health,cure_claim,neutral,none,blog,15
MIS-E92586,A senior official resigned rather than certify the election after the deep state had stolen it.,misinformation,conspiracy,politics,economic_prediction,anger,none,social_media,16
MIS-67C05A,My financial mentor revealed how this peer-to-peer lending platform generates an eight-figure portfolio in under a year automatically — before regulators ban it.,misinformation,rumor,finance,policy_claim,urgency,none,forum,23
MIS-F9642A,Your quantum computing chips are harvest biometric data secretly right now. defense contractors profit from your ignorance of this fact.,misinformation,propaganda,technology,scientific_misinterpretation,urgency,curiosity,messaging_app,20
MIS-A07080,BREAKING: the election illegally altered by transnational oligarchs. The media refuses to cover this story.,misinformation,propaganda,politics,policy_claim,urgency,none,social_media,15
MIS-290406,New study confirms eating actual food extends lifespan by 40 years — supplement industry questions the methodology.,satire,none,health,scientific_misinterpretation,curiosity,none,blog,17
MIS-028B83,Hundreds of credentialed academics privately admit CRISPR gene editing is promoted by scientists with undisclosed financial conflicts.,misinformation,conspiracy,science,cure_claim,fear,none,messaging_app,17
MIS-D214E4,"Arguably, children's exposure to smart home speakers is a public health question Silicon Valley executives refuse to take seriously.",opinion,none,technology,scientific_misinterpretation,hope,none,forum,19
MIS-3B5200,Evidence-based medicine confirms that sleep quality is a significant modifiable risk factor for heart disease.,factual,none,health,cure_claim,fear,none,forum,15
MIS-7F0FED,frankincense oil completely totally eliminates Crohn's disease. Thousands recovered. vaccine manufacturers labeled it unproven.,misinformation,rumor,health,policy_claim,fear,hope,forum,14
MIS-815658,"Arguably, the environmental cost of implantable health monitors supply chains is systematically hidden by military-tech consortiums.",opinion,none,technology,technology_fear,hope,curiosity,comment,16
MIS-035F60,Let's be honest: the financial press consistently prioritises advertiser interests over investor education.,opinion,none,finance,policy_claim,neutral,none,blog,13
